x z velocity
20.35 2039.51 161.24
33.80 2039.69 156.87
35.03 2040.03 127.46
31.46 2040.00 135.38
31.40 2039.72 172.48
36.67 2039.84 134.81
38.70 2040.21 144.84
35.50 2040.13 108.62
35.46 2039.86 130.47
40.38 2040.03 148.73
42.34 2040.19 145.40
39.18 2040.31 136.26
39.15 2040.05 149.77
44.95 2040.22 186.69
47.27 2039.38 320.73
46.53 2040.47 151.70
47.37 2040.75 116.28
47.89 2040.84 111.96
46.13 2040.24 178.50
45.47 2039.99 206.50
42.78 2040.44 118.00
42.69 2040.18 145.81
1.39 2037.74 143.28
1.04 2037.65 132.71
1.69 2037.62 168.57
1.50 2037.56 167.44
3.37 2037.74 213.35
7.07 2037.57 343.38
5.52 2038.15 131.54
7.68 2038.40 183.55
5.51 2037.88 216.55
24.58 2039.21 246.56
17.40 2038.93 143.68
16.36 2038.44 223.85
19.78 2039.00 182.44
22.20 2039.56 174.46
19.27 2038.27 310.74
24.29 2039.07 238.32
31.51 2038.90 319.95
19.37 2038.95 177.69
26.00 2038.51 452.19
33.53 2040.06 140.44
33.97 2039.90 147.11
47.19 2040.82 116.63
47.07 2040.54 142.66
46.73 2040.52 149.40
47.69 2040.52 134.33
47.01 2040.19 181.52
46.91 2040.43 148.73
1.11 2037.33 202.87
1.38 2037.30 204.97
7.37 2037.71 338.20
1.61 2037.11 237.02
7.57 2038.10 208.83
7.75 2038.06 212.85
3.80 2037.57 262.11
7.83 2037.07 661.71
27.20 2039.55 235.01
24.05 2039.31 213.97
24.59 2039.50 170.73
21.06 2039.05 204.02
25.05 2039.22 280.90
22.02 2039.58 173.06
16.28 2038.69 164.56
17.02 2038.81 157.46
31.75 2039.18 291.72
35.73 2039.73 131.37
1.35 2036.43 1121.78
47.43 2040.56 134.52
3.33 2037.29 252.78
0.75 2036.87 1058.41
0.61 2037.38 252.34
7.87 2037.81 282.89
8.20 2038.16 205.87
18.64 2037.52 570.63
18.59 2038.66 225.21
47.28 2040.45 141.77
47.74 2040.73 113.81
46.71 2039.69 273.36
47.73 2039.64 324.97
0.67 2037.63 139.87
0.93 2036.53 1157.40
8.14 2037.84 281.66
10.39 2038.11 240.59
8.43 2037.58 299.53
15.98 2036.57 804.44
26.27 2039.20 290.90
47.27 2040.20 182.01
47.84 2040.30 178.33
0.11 2037.68 234.20
0.86 2037.18 228.41
0.33 2037.33 269.55
0.27 2037.58 179.48
0.35 2036.84 1111.13
40.11 2039.96 150.43
39.58 2039.59 206.49
2.35 2036.94 420.15
3.51 2037.53 252.42
25.01 2039.45 197.28
34.45 2038.29 435.75
32.35 2039.52 188.02
32.68 2039.55 186.80
36.40 2039.77 132.63
35.88 2039.38 181.96
16.15 2037.79 465.70
16.68 2038.42 230.67
29.44 2039.32 251.59
24.24 2038.04 599.02
34.73 2039.73 154.01
35.21 2039.80 132.06
38.39 2039.88 161.73
38.90 2039.98 150.39
9.54 2037.76 294.97
19.66 2038.46 294.25
13.54 2037.77 260.37
20.76 2039.00 205.87
28.99 2039.67 207.45
33.25 2039.35 208.44
32.92 2039.25 208.75
37.32 2039.21 223.92
37.37 2039.88 144.51
40.75 2039.49 229.56
41.08 2040.12 141.55
43.88 2039.06 340.49
8.98 2037.70 298.76
9.26 2037.49 323.14
19.70 2039.40 142.10
25.77 2038.13 554.03
24.64 2038.55 427.11
25.34 2038.22 557.02
0.15 2036.08 1507.64
0.33 2036.32 1459.81
40.64 2039.88 150.34
41.34 2039.87 154.11
38.47 2038.94 276.21
42.07 2039.91 159.68
1.67 2036.73 783.34
