x z velocity
37.82 2037.30 518.78
9.78 2035.15 1183.02
14.91 2036.13 931.16
34.46 2036.90 819.01
33.68 2037.09 777.11
2.84 2034.94 1387.12
4.38 2035.13 1026.46
26.86 2037.17 903.10
27.28 2035.97 1197.71
18.45 2036.84 797.07
20.57 2035.62 1369.58
17.44 2035.51 1197.63
23.13 2033.95 1946.80
34.99 2035.98 748.05
35.68 2037.77 445.52
13.32 2035.69 1288.73
19.75 2035.18 1522.70
33.22 2035.00 1155.62
40.16 2035.40 1261.70
26.00 2034.77 1470.65
27.08 2034.92 1521.42
19.03 2036.37 880.71
19.02 2035.63 1440.08
34.44 2034.92 1113.96
36.38 2037.11 581.77
18.24 2035.09 1304.22
18.72 2034.11 2076.83
6.94 2034.42 1458.16
8.81 2035.80 1201.81
1.79 2032.34 1720.38
4.38 2032.50 1677.76
14.32 2035.36 1299.23
12.33 2035.06 1197.56
19.70 2034.24 1976.24
6.43 2035.12 1068.17
8.42 2033.78 1741.64
4.79 2033.58 1435.53
5.04 2031.63 1791.54
0.95 2032.07 1728.66
2.62 2031.76 1715.36
16.11 2034.23 1882.19
25.27 2033.93 1503.78
7.78 2034.56 1579.52
7.99 2032.75 1650.45
5.59 2033.91 1426.29
6.41 2033.61 1453.62
3.36 2032.45 1679.88
9.63 2034.05 1857.24
0.53 2031.00 1840.92
1.23 2030.17 1878.54
3.11 2028.35 2011.06
6.82 2032.72 1644.23
2.48 2030.65 1881.55
1.55 2028.02 2008.06
38.39 2036.65 725.90
39.30 2036.83 688.83
19.06 2031.90 2607.43
10.32 2033.14 1817.33
24.16 2034.44 1729.36
32.55 2030.35 2198.41
37.11 2030.40 2322.16
22.99 2032.52 2146.90
32.41 2033.95 1538.90
36.15 2036.11 786.19
29.02 2031.84 1690.12
40.72 2036.87 621.76
39.16 2034.84 1254.87
41.63 2036.78 621.01
20.21 2031.91 2539.16
24.18 2031.81 2053.05
40.07 2036.32 802.74
41.34 2034.92 1294.25
38.06 2031.43 2339.57
45.22 2037.26 543.07
43.47 2035.74 1049.47
43.12 2037.83 506.82
47.15 2033.89 990.14
46.47 2036.21 631.98
27.97 2034.08 1627.78
29.17 2034.58 1737.07
20.12 2028.98 2213.31
14.81 2034.30 1924.39
8.63 2031.81 1959.18
16.25 2031.95 2842.10
32.84 2032.68 1644.79
30.23 2033.73 1761.41
44.37 2034.69 818.78
47.49 2036.57 609.90
27.93 2032.44 1719.00
