x z velocity
49.27 2061.30 444.70
8.91 2065.37 690.65
14.05 2064.89 490.78
54.46 2062.02 398.68
55.53 2061.52 373.17
11.72 2063.98 580.81
17.36 2064.22 527.36
73.87 2060.17 390.90
88.19 2057.04 475.03
21.36 2063.86 600.81
62.49 2055.27 1212.47
39.84 2060.95 397.98
41.70 2061.10 470.36
30.17 2060.01 709.61
29.86 2060.98 470.23
48.77 2063.38 259.80
49.57 2062.93 250.06
34.23 2060.29 550.63
36.64 2058.90 660.31
62.94 2061.54 332.98
66.24 2060.87 365.15
77.81 2061.11 263.82
78.78 2061.43 328.97
13.21 2063.29 590.27
12.79 2064.66 475.38
49.85 2062.08 355.38
60.19 2059.96 541.35
12.49 2063.86 597.94
16.08 2059.41 842.03
46.26 2061.51 387.50
50.73 2062.13 367.81
31.07 2060.10 686.19
37.77 2058.30 642.17
72.90 2060.19 393.08
83.70 2056.73 678.93
55.85 2060.45 455.94
57.63 2062.02 339.55
8.66 2063.61 604.12
10.54 2062.76 750.25
47.98 2062.83 343.07
48.89 2058.87 674.79
76.75 2061.14 264.31
78.34 2060.07 374.08
75.65 2060.60 321.96
71.16 2059.67 430.73
4.77 2064.27 561.44
10.18 2064.49 678.32
83.89 2059.43 405.54
88.62 2058.73 380.97
67.88 2061.05 318.15
74.55 2059.24 505.58
0.85 2065.12 361.66
1.01 2063.59 439.63
69.47 2059.31 399.94
71.05 2060.61 248.29
40.78 2060.40 439.06
43.46 2061.83 342.55
76.96 2055.91 802.85
87.66 2058.56 375.08
19.58 2064.17 497.46
20.67 2065.44 469.80
87.32 2060.01 337.18
87.03 2059.25 406.12
23.60 2063.16 428.78
20.15 2061.88 687.92
26.22 2061.62 462.25
31.94 2059.69 715.04
63.89 2061.00 428.23
10.21 2054.91 1457.54
20.84 2059.40 1036.45
63.88 2056.87 747.06
3.31 2062.98 574.96
7.59 2063.72 581.82
0.69 2060.43 755.71
5.72 2064.19 574.13
76.66 2059.19 472.39
70.44 2058.00 676.71
85.15 2059.61 418.72
85.98 2058.85 414.62
79.18 2058.31 615.44
87.35 2057.58 456.38
56.50 2055.38 1311.46
87.88 2052.56 1369.63
6.89 2062.95 646.77
10.91 2063.68 594.39
4.41 2063.18 599.02
2.76 2061.71 657.96
1.34 2061.59 656.28
22.36 2059.20 991.68
5.19 2062.60 638.81
5.60 2061.59 898.60
58.74 2058.22 759.50
71.48 2057.37 697.38
44.45 2061.91 338.56
